,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition
3,2.0,18.0,0.0,1.0,ATL,Field Goal,19.0,"2,18",28.0
5,3.0,8.0,0.0,1.0,ATL,Field Goal,19.0,"3,8",18.0
6,4.0,8.0,0.0,1.0,ATL,Field Goal,19.0,"4,8",18.0
1,1.0,10.0,0.0,1.0,MIA,End of Half,-32.0,"1,10",82.0
1,1.0,10.0,0.0,1.0,MIA,Punt,-34.0,"1,10",84.0
2,2.0,1.0,0.0,1.0,MIA,Punt,-34.0,"2,1",75.0
3,3.0,5.0,0.0,1.0,MIA,Punt,-34.0,"3,5",79.0
4,4.0,5.0,0.0,1.0,MIA,Punt,-34.0,"4,5",79.0
0,1.0,10.0,0.0,1.0,ATL,Punt,-21.0,"1,10",71.0
1,2.0,4.0,0.0,1.0,ATL,Punt,-21.0,"2,4",65.0
2,3.0,1.0,0.0,1.0,ATL,Punt,-21.0,"3,1",62.0
3,4.0,1.0,0.0,1.0,ATL,Punt,-21.0,"4,1",62.0
0,1.0,10.0,0.0,1.0,MIA,Punt,-24.0,"1,10",74.0
1,2.0,10.0,0.0,1.0,MIA,Punt,-24.0,"2,10",74.0
2,3.0,9.0,0.0,1.0,MIA,Punt,-24.0,"3,9",73.0
3,4.0,15.0,0.0,1.0,MIA,Punt,-24.0,"4,15",79.0
0,1.0,10.0,0.0,1.0,ATL,Punt,2.0,"1,10",48.0
1,2.0,8.0,0.0,1.0,ATL,Punt,2.0,"2,8",46.0
2,3.0,16.0,0.0,1.0,ATL,Punt,2.0,"3,16",54.0
3,4.0,6.0,0.0,1.0,ATL,Punt,2.0,"4,6",44.0
0,1.0,10.0,1.0,1.0,MIA,Interception,-30.0,"1,10",80.0
1,2.0,11.0,1.0,1.0,MIA,Interception,-30.0,"2,11",81.0
2,3.0,5.0,1.0,1.0,MIA,Interception,-30.0,"3,5",75.0
3,1.0,10.0,1.0,1.0,MIA,Interception,-30.0,"1,10",61.0
4,2.0,6.0,1.0,1.0,MIA,Interception,-30.0,"2,6",57.0
5,1.0,10.0,1.0,1.0,MIA,Interception,-30.0,"1,10",49.0
6,2.0,2.0,1.0,1.0,MIA,Interception,-30.0,"2,2",41.0
7,1.0,10.0,0.0,1.0,MIA,Interception,-30.0,"1,10",38.0
8,2.0,9.0,0.0,1.0,MIA,Interception,-30.0,"2,9",37.0
9,2.0,19.0,0.0,1.0,MIA,Interception,-30.0,"2,19",47.0
0,1.0,10.0,1.0,1.0,ATL,Touchdown,30.0,"1,10",20.0
1,2.0,10.0,1.0,1.0,ATL,Touchdown,30.0,"2,10",20.0
2,3.0,10.0,1.0,1.0,ATL,Touchdown,30.0,"3,10",20.0
1,1.0,10.0,1.0,1.0,MIA,Fumble,-36.0,"1,10",86.0
2,1.0,10.0,0.0,1.0,MIA,Fumble,-36.0,"1,10",72.0
0,1.0,10.0,1.0,1.0,ATL,Missed FG,12.0,"1,10",38.0
2,2.0,5.0,1.0,1.0,ATL,Missed FG,12.0,"2,5",33.0
4,3.0,1.0,1.0,1.0,ATL,Missed FG,12.0,"3,1",29.0
5,1.0,10.0,1.0,1.0,ATL,Missed FG,12.0,"1,10",27.0
6,1.0,10.0,0.0,1.0,ATL,Missed FG,12.0,"1,10",15.0
7,2.0,15.0,0.0,1.0,ATL,Missed FG,12.0,"2,15",20.0
8,3.0,15.0,0.0,1.0,ATL,Missed FG,12.0,"3,15",20.0
9,4.0,15.0,0.0,1.0,ATL,Missed FG,12.0,"4,15",20.0
0,1.0,10.0,0.0,1.0,MIA,Punt,-22.0,"1,10",72.0
1,2.0,5.0,0.0,1.0,MIA,Punt,-22.0,"2,5",67.0
2,3.0,5.0,0.0,1.0,MIA,Punt,-22.0,"3,5",67.0
3,4.0,5.0,0.0,1.0,MIA,Punt,-22.0,"4,5",67.0
0,1.0,10.0,1.0,1.0,ATL,Field Goal,-19.0,"1,10",69.0
1,1.0,10.0,1.0,1.0,ATL,Field Goal,-19.0,"1,10",48.0
2,2.0,7.0,1.0,1.0,ATL,Field Goal,-19.0,"2,7",45.0
3,3.0,10.0,1.0,1.0,ATL,Field Goal,-19.0,"3,10",48.0
4,1.0,10.0,0.0,1.0,ATL,Field Goal,-19.0,"1,10",36.0
5,2.0,10.0,0.0,1.0,ATL,Field Goal,-19.0,"2,10",36.0
6,3.0,5.0,0.0,1.0,ATL,Field Goal,-19.0,"3,5",31.0
7,4.0,5.0,0.0,1.0,ATL,Field Goal,-19.0,"4,5",31.0
1,1.0,10.0,1.0,1.0,MIA,Touchdown,-26.0,"1,10",76.0
2,2.0,10.0,1.0,1.0,MIA,Touchdown,-26.0,"2,10",76.0
3,3.0,10.0,1.0,1.0,MIA,Touchdown,-26.0,"3,10",76.0
4,1.0,10.0,1.0,1.0,MIA,Touchdown,-26.0,"1,10",55.0
5,1.0,10.0,1.0,1.0,MIA,Touchdown,-26.0,"1,10",45.0
6,2.0,5.0,1.0,1.0,MIA,Touchdown,-26.0,"2,5",40.0
7,1.0,10.0,1.0,1.0,MIA,Touchdown,-26.0,"1,10",31.0
8,2.0,5.0,1.0,1.0,MIA,Touchdown,-26.0,"2,5",26.0
9,1.0,10.0,1.0,1.0,MIA,Touchdown,-26.0,"1,10",21.0
10,1.0,20.0,1.0,1.0,MIA,Touchdown,-26.0,"1,20",31.0
11,2.0,13.0,1.0,1.0,MIA,Touchdown,-26.0,"2,13",24.0
12,3.0,4.0,1.0,1.0,MIA,Touchdown,-26.0,"3,4",15.0
13,4.0,4.0,1.0,1.0,MIA,Touchdown,-26.0,"4,4",15.0
14,1.0,9.0,1.0,1.0,MIA,Touchdown,-26.0,"1,9",9.0
1,1.0,10.0,0.0,1.0,KC,Punt,-24.0,"1,10",74.0
2,2.0,5.0,0.0,1.0,KC,Punt,-24.0,"2,5",69.0
3,3.0,9.0,0.0,1.0,KC,Punt,-24.0,"3,9",73.0
4,4.0,9.0,0.0,1.0,KC,Punt,-24.0,"4,9",73.0
0,1.0,10.0,1.0,1.0,BAL,Field Goal,-30.0,"1,10",80.0
1,2.0,6.0,1.0,1.0,BAL,Field Goal,-30.0,"2,6",76.0
2,1.0,10.0,1.0,1.0,BAL,Field Goal,-30.0,"1,10",57.0
3,1.0,10.0,1.0,1.0,BAL,Field Goal,-30.0,"1,10",35.0
5,2.0,10.0,1.0,1.0,BAL,Field Goal,-30.0,"2,10",35.0
6,1.0,10.0,0.0,1.0,BAL,Field Goal,-30.0,"1,10",24.0
7,2.0,10.0,0.0,1.0,BAL,Field Goal,-30.0,"2,10",24.0
8,3.0,12.0,0.0,1.0,BAL,Field Goal,-30.0,"3,12",26.0
9,4.0,12.0,0.0,1.0,BAL,Field Goal,-30.0,"4,12",26.0
1,1.0,10.0,0.0,1.0,KC,Punt,-25.0,"1,10",75.0
2,2.0,9.0,0.0,1.0,KC,Punt,-25.0,"2,9",74.0
5,3.0,15.0,0.0,1.0,KC,Punt,-25.0,"3,15",80.0
6,4.0,15.0,0.0,1.0,KC,Punt,-25.0,"4,15",80.0
0,1.0,10.0,1.0,1.0,BAL,Touchdown,-20.0,"1,10",70.0
1,1.0,10.0,1.0,1.0,BAL,Touchdown,-20.0,"1,10",70.0
2,1.0,10.0,1.0,1.0,BAL,Touchdown,-20.0,"1,10",57.0
3,2.0,6.0,1.0,1.0,BAL,Touchdown,-20.0,"2,6",53.0
4,3.0,2.0,1.0,1.0,BAL,Touchdown,-20.0,"3,2",49.0
5,1.0,10.0,1.0,1.0,BAL,Touchdown,-20.0,"1,10",37.0
6,2.0,4.0,1.0,1.0,BAL,Touchdown,-20.0,"2,4",31.0
7,1.0,10.0,1.0,1.0,BAL,Touchdown,-20.0,"1,10",25.0
8,2.0,8.0,1.0,1.0,BAL,Touchdown,-20.0,"2,8",23.0
9,3.0,8.0,1.0,1.0,BAL,Touchdown,-20.0,"3,8",23.0
10,1.0,9.0,1.0,1.0,BAL,Touchdown,-20.0,"1,9",9.0
11,2.0,4.0,1.0,1.0,BAL,Touchdown,-20.0,"2,4",4.0
12,3.0,3.0,1.0,1.0,BAL,Touchdown,-20.0,"3,3",3.0
1,1.0,10.0,0.0,1.0,KC,Punt,-34.0,"1,10",84.0
2,2.0,11.0,0.0,1.0,KC,Punt,-34.0,"2,11",85.0
3,3.0,5.0,0.0,1.0,KC,Punt,-34.0,"3,5",79.0
4,4.0,1.0,0.0,1.0,KC,Punt,-34.0,"4,1",75.0
0,1.0,10.0,0.0,1.0,BAL,Punt,-42.0,"1,10",92.0
2,2.0,10.0,0.0,1.0,BAL,Punt,-42.0,"2,10",92.0
3,3.0,10.0,0.0,1.0,BAL,Punt,-42.0,"3,10",92.0
4,3.0,14.0,0.0,1.0,BAL,Punt,-42.0,"3,14",96.0
5,3.0,14.0,0.0,1.0,BAL,Punt,-42.0,"3,14",96.0
6,4.0,3.0,0.0,1.0,BAL,Punt,-42.0,"4,3",85.0
0,1.0,10.0,0.0,1.0,KC,Punt,-21.0,"1,10",71.0
1,2.0,7.0,0.0,1.0,KC,Punt,-21.0,"2,7",68.0
2,3.0,5.0,0.0,1.0,KC,Punt,-21.0,"3,5",66.0
3,4.0,5.0,0.0,1.0,KC,Punt,-21.0,"4,5",66.0
0,1.0,10.0,0.0,1.0,BAL,Blocked Punt,-41.0,"1,10",91.0
1,2.0,5.0,0.0,1.0,BAL,Blocked Punt,-41.0,"2,5",86.0
2,3.0,5.0,0.0,1.0,BAL,Blocked Punt,-41.0,"3,5",86.0
