,Field Position,Result
10,42.0,Field Goal
11,57.0,End of Half
12,58.0,Punt
13,97.0,Interception
14,22.0,Touchdown
15,60.0,Touchdown
16,80.0,Interception
17,56.0,Field Goal
18,72.0,Punt
19,93.0,Interception
20,13.0,Field Goal
21,73.0,Downs
0,77.0,Punt
1,83.0,Field Goal
2,62.0,Touchdown
3,75.0,Punt
4,76.0,Interception
5,,
6,27.0,Field Goal
7,73.0,Touchdown
8,76.0,Punt
9,95.0,Punt
10,58.0,Punt
11,88.0,Interception
12,28.0,Touchdown
13,66.0,Field Goal
14,,
15,82.0,Missed FG
16,80.0,Punt
17,94.0,Punt
18,83.0,Touchdown
19,80.0,Punt
20,56.0,Interception
21,73.0,Touchdown
22,83.0,Punt
23,58.0,Field Goal
24,71.0,Touchdown
