,Field Position,Result
17,77.0,Field Goal
18,80.0,Interception
19,60.0,Touchdown
20,73.0,Punt
21,81.0,Punt
22,80.0,Punt
23,80.0,Punt
24,77.0,Touchdown
25,83.0,Interception
0,80.0,Punt
1,62.0,Punt
2,80.0,Field Goal
3,87.0,Punt
4,80.0,Punt
5,68.0,Touchdown
6,78.0,Touchdown
7,80.0,Punt
8,81.0,Touchdown
9,93.0,End of Half
10,78.0,Punt
11,49.0,Punt
12,83.0,Punt
13,92.0,Punt
14,65.0,Touchdown
15,80.0,Punt
16,75.0,Touchdown
17,80.0,Punt
18,80.0,Punt
19,79.0,Punt
20,64.0,Punt
21,88.0,Fumble
22,20.0,Field Goal
0,77.0,Punt
1,95.0,Punt
2,78.0,Punt
3,94.0,Punt
4,64.0,Punt
5,83.0,Interception
6,72.0,Punt
7,80.0,Punt
8,75.0,Punt
9,89.0,Punt
10,51.0,Punt
11,91.0,Missed FG
12,80.0,End of Half
13,79.0,Interception
14,61.0,Field Goal
15,84.0,Fumble
16,10.0,Touchdown
17,83.0,Punt
18,33.0,Field Goal
19,88.0,Punt
20,40.0,Interception
21,80.0,Touchdown
22,80.0,Punt
23,79.0,Field Goal
24,85.0,Touchdown
25,64.0,Touchdown
26,80.0,Touchdown
0,80.0,Touchdown
1,63.0,Touchdown
2,83.0,Interception
3,80.0,Interception
4,66.0,Touchdown
5,78.0,Downs
6,64.0,Field Goal
7,74.0,Touchdown
8,80.0,End of Half
9,80.0,Field Goal
10,84.0,Touchdown
11,73.0,Touchdown
12,80.0,Punt
13,68.0,Touchdown
14,80.0,Touchdown
15,55.0,Touchdown
16,92.0,Punt
17,52.0,Punt
18,96.0,Punt
19,69.0,Interception
0,89.0,Punt
1,37.0,Field Goal
2,85.0,Field Goal
3,83.0,Punt
4,87.0,Interception
5,90.0,Punt
6,69.0,Field Goal
7,76.0,Punt
8,80.0,Field Goal
9,78.0,Field Goal
10,80.0,Punt
11,98.0,Safety
12,68.0,Punt
13,91.0,Safety
14,60.0,Punt
15,94.0,Punt
16,90.0,Punt
17,68.0,Punt
18,73.0,Punt
19,84.0,Touchdown
20,80.0,Downs
21,67.0,Punt
22,64.0,Missed FG
0,76.0,Field Goal
1,78.0,Punt
2,68.0,Missed FG
3,70.0,Field Goal
4,59.0,Field Goal
5,80.0,Punt
6,77.0,Punt
7,61.0,Field Goal
8,65.0,Field Goal
9,80.0,Interception
10,71.0,Touchdown
11,80.0,Touchdown
12,80.0,Fumble
13,58.0,Touchdown
14,77.0,Punt
15,54.0,Punt
16,92.0,Touchdown
0,79.0,Touchdown
1,60.0,Punt
2,87.0,Punt
3,78.0,Interception
4,52.0,Field Goal
5,82.0,Field Goal
6,80.0,Fumble
7,85.0,Punt
8,9.0,Touchdown
9,80.0,End of Half
10,80.0,Touchdown
11,88.0,Fumble
12,41.0,Touchdown
13,94.0,Field Goal
14,80.0,Punt
15,51.0,Touchdown
16,79.0,Downs
17,58.0,Field Goal
18,63.0,Downs
19,69.0,Punt
0,80.0,Punt
1,40.0,Field Goal
2,87.0,Downs
3,66.0,Punt
4,86.0,Touchdown
5,72.0,Punt
6,75.0,Field Goal
7,72.0,Punt
8,80.0,Punt
9,78.0,Punt
10,56.0,Touchdown
11,72.0,Punt
12,83.0,End of Half
13,80.0,Touchdown
14,85.0,Touchdown
15,70.0,Missed FG
16,64.0,Fumble
17,51.0,Touchdown
18,80.0,Interception
19,94.0,Punt
20,69.0,Punt
21,89.0,Interception
22,74.0,Punt
0,80.0,Touchdown
1,80.0,Punt
2,78.0,Touchdown
3,80.0,Missed FG
4,58.0,Touchdown
5,80.0,Touchdown
6,80.0,Touchdown
7,80.0,Punt
8,86.0,End of Half
9,83.0,Downs
10,83.0,Punt
11,84.0,Punt
12,66.0,Field Goal
13,80.0,Interception
14,22.0,Field Goal
15,81.0,Fumble
16,72.0,Field Goal
17,67.0,Interception
18,80.0,Interception
0,80.0,Punt
1,80.0,Fumble
2,92.0,Touchdown
3,80.0,Punt
4,52.0,Field Goal
5,60.0,Punt
6,77.0,Punt
7,67.0,Punt
8,81.0,Punt
9,76.0,Punt
10,62.0,Punt
11,88.0,Punt
12,89.0,Punt
13,70.0,Missed FG
14,62.0,Punt
15,80.0,Punt
16,92.0,Interception
17,19.0,Field Goal
18,80.0,Field Goal
19,80.0,Punt
20,76.0,Field Goal
21,80.0,Interception
22,83.0,Touchdown
0,80.0,Touchdown
1,75.0,Punt
2,85.0,Field Goal
3,80.0,Punt
4,73.0,Punt
5,80.0,Punt
6,90.0,Touchdown
7,73.0,Punt
8,59.0,Punt
9,63.0,Downs
10,95.0,Punt
11,46.0,Field Goal
12,80.0,Punt
13,65.0,Touchdown
14,76.0,Interception
15,39.0,Touchdown
16,83.0,Interception
17,14.0,Missed FG
18,73.0,Touchdown
19,66.0,Punt
20,82.0,Interception
21,27.0,Touchdown
22,80.0,Fumble
23,20.0,Downs
24,81.0,Punt
0,80.0,Punt
1,54.0,Touchdown
2,73.0,Punt
3,78.0,Touchdown
4,79.0,Touchdown
5,77.0,Interception
6,41.0,Field Goal
7,80.0,Punt
8,69.0,Punt
9,87.0,Field Goal
10,80.0,Punt
11,85.0,Punt
12,67.0,Touchdown
13,81.0,Touchdown
14,80.0,Punt
15,90.0,Punt
16,47.0,Interception
17,67.0,Punt
18,92.0,Punt
19,80.0,Punt
20,49.0,Interception
0,80.0,Interception
1,18.0,Interception
2,82.0,Punt
3,86.0,Punt
4,69.0,Punt
5,60.0,Field Goal
6,80.0,Field Goal
7,80.0,Punt
8,66.0,Punt
9,79.0,Punt
10,73.0,Punt
11,79.0,Punt
12,62.0,Punt
13,77.0,Missed FG
14,65.0,End of Half
15,74.0,Punt
16,64.0,Punt
17,86.0,Touchdown
18,80.0,Interception
19,79.0,Punt
20,87.0,Fumble
21,8.0,Touchdown
22,80.0,Downs
0,80.0,Punt
1,57.0,Touchdown
2,81.0,Punt
3,91.0,Punt
4,93.0,Punt
5,54.0,Field Goal
6,73.0,Punt
7,83.0,Punt
8,71.0,Punt
9,83.0,Punt
10,93.0,End of Half
11,80.0,Punt
12,65.0,Touchdown
13,80.0,Punt
14,73.0,Punt
15,80.0,Punt
16,90.0,Punt
17,80.0,Touchdown
18,87.0,Downs
19,54.0,Punt
20,85.0,Downs
21,18.0,Missed FG
22,69.0,Field Goal
0,86.0,Punt
1,67.0,Downs
2,62.0,Missed FG
3,75.0,Punt
4,74.0,Punt
5,66.0,Punt
6,74.0,Missed FG
7,67.0,Punt
8,85.0,Punt
9,67.0,Punt
10,93.0,Interception
11,84.0,Touchdown
12,70.0,Touchdown
13,71.0,End of Half
14,81.0,Punt
15,82.0,Punt
16,55.0,Punt
17,86.0,Punt
18,63.0,Interception
19,83.0,Punt
20,87.0,Punt
21,89.0,Touchdown
22,70.0,Punt
23,87.0,Interception
24,26.0,Field Goal
25,87.0,Touchdown
26,81.0,Interception
0,80.0,Fumble
1,30.0,Touchdown
2,80.0,Fumble
3,62.0,Field Goal
4,80.0,Punt
5,52.0,Field Goal
6,80.0,Punt
7,70.0,Punt
8,84.0,Fumble
9,19.0,Field Goal
10,80.0,Punt
11,73.0,Punt
12,77.0,Punt
13,65.0,Field Goal
14,80.0,Missed FG
15,67.0,End of Half
16,70.0,Punt
17,80.0,Interception
18,80.0,Interception
19,80.0,Punt
20,79.0,Field Goal
21,71.0,Downs
22,89.0,Punt
23,78.0,Interception
24,92.0,Punt
25,47.0,Interception
26,80.0,Punt
27,56.0,Touchdown
0,80.0,Field Goal
1,65.0,Field Goal
2,80.0,Punt
3,90.0,Punt
4,56.0,Field Goal
5,80.0,Punt
6,86.0,Punt
7,50.0,Touchdown
8,80.0,Punt
9,52.0,Punt
10,99.0,Missed FG
11,82.0,Missed FG
12,70.0,Touchdown
13,82.0,Touchdown
14,80.0,Interception
15,26.0,Field Goal
16,80.0,Punt
17,88.0,Field Goal
18,81.0,Touchdown
19,44.0,Punt
20,94.0,Field Goal
21,80.0,Punt
22,73.0,Punt
23,80.0,Downs
0,80.0,Punt
1,45.0,Touchdown
2,80.0,Missed FG
3,60.0,Interception
4,5.0,Field Goal
5,85.0,Field Goal
6,80.0,Interception
7,47.0,Missed FG
8,61.0,Field Goal
9,80.0,End of Half
10,75.0,Fumble
11,24.0,Field Goal
12,80.0,Field Goal
13,84.0,Punt
14,73.0,Punt
15,59.0,Interception
16,81.0,Touchdown
17,82.0,Missed FG
18,61.0,Downs
0,80.0,Punt
1,66.0,Punt
2,80.0,Field Goal
3,69.0,Touchdown
4,80.0,Punt
5,71.0,Interception
6,51.0,Field Goal
7,90.0,Punt
8,85.0,Punt
9,47.0,Field Goal
10,76.0,Field Goal
11,80.0,Fumble
12,71.0,Punt
13,95.0,Punt
14,77.0,Field Goal
15,74.0,Punt
16,74.0,Punt
17,65.0,Punt
18,27.0,Field Goal
19,60.0,Missed FG
0,74.0,Punt
1,70.0,Missed FG
2,60.0,Touchdown
3,,
4,19.0,Field Goal
5,85.0,Punt
6,72.0,Punt
7,66.0,Touchdown
8,76.0,Field Goal
9,90.0,Punt
10,42.0,Field Goal
11,,
12,18.0,Field Goal
13,80.0,Missed FG
14,58.0,End of Half
15,80.0,Interception
16,4.0,Field Goal
17,81.0,Punt
18,91.0,Punt
19,82.0,Field Goal
20,73.0,Punt
21,76.0,Punt
22,97.0,Punt
23,65.0,Touchdown
0,80.0,Field Goal
1,80.0,Field Goal
2,80.0,Field Goal
3,80.0,Field Goal
4,53.0,Field Goal
5,78.0,Interception
6,43.0,Interception
7,78.0,End of Half
8,80.0,Field Goal
9,80.0,Punt
10,65.0,Punt
11,84.0,Touchdown
12,74.0,Punt
13,85.0,Punt
14,50.0,Touchdown
15,89.0,Interception
16,17.0,Touchdown
17,80.0,Touchdown
18,86.0,Punt
19,80.0,Downs
0,67.0,Missed FG
1,80.0,Field Goal
2,76.0,Punt
3,73.0,Field Goal
4,84.0,Punt
5,61.0,Punt
6,92.0,Punt
7,93.0,Punt
8,65.0,Punt
9,92.0,Safety
10,65.0,Touchdown
11,80.0,Touchdown
12,66.0,End of Half
13,90.0,Punt
14,55.0,Punt
15,80.0,Punt
16,13.0,Field Goal
17,60.0,Interception
18,57.0,Touchdown
19,71.0,Touchdown
20,84.0,Touchdown
21,80.0,Interception
22,80.0,Downs
23,61.0,Downs
24,62.0,Downs
0,80.0,Punt
1,80.0,Punt
2,70.0,Touchdown
3,80.0,Missed FG
4,58.0,Field Goal
5,79.0,Interception
6,77.0,Punt
7,75.0,Punt
8,97.0,Punt
9,67.0,Punt
10,82.0,End of Half
11,69.0,Touchdown
12,75.0,Punt
13,14.0,Touchdown
14,50.0,Touchdown
15,73.0,Downs
16,59.0,Touchdown
17,79.0,Punt
18,66.0,Touchdown
19,80.0,Downs
0,80.0,Downs
1,79.0,Punt
2,34.0,Field Goal
3,80.0,Missed FG
4,57.0,Fumble
5,35.0,Field Goal
6,39.0,Punt
7,91.0,Punt
8,48.0,Punt
9,80.0,Punt
10,62.0,Punt
11,80.0,Missed FG
12,80.0,Touchdown
13,88.0,Punt
14,99.0,Punt
15,49.0,Punt
16,79.0,Interception
17,,
18,42.0,Punt
19,81.0,Punt
20,82.0,Punt
21,69.0,Field Goal
22,92.0,Punt
23,47.0,Punt
24,95.0,Touchdown
0,68.0,Punt
1,86.0,Punt
2,77.0,Touchdown
3,55.0,Field Goal
4,80.0,Interception
5,53.0,Touchdown
6,55.0,Downs
7,57.0,Touchdown
8,,
9,16.0,Touchdown
10,72.0,End of Half
11,82.0,Punt
12,62.0,Punt
13,95.0,Punt
14,62.0,Punt
15,46.0,Punt
16,80.0,Interception
17,24.0,Field Goal
18,72.0,Touchdown
19,64.0,Missed FG
20,60.0,Interception
21,80.0,Fumble
22,38.0,Touchdown
23,91.0,Punt
24,71.0,Downs
25,46.0,Punt
0,93.0,Punt
1,44.0,Touchdown
2,79.0,Interception
3,44.0,Field Goal
4,80.0,Punt
5,79.0,Field Goal
6,86.0,Punt
7,77.0,Punt
8,90.0,Field Goal
9,80.0,End of Half
10,80.0,Touchdown
11,75.0,Punt
12,79.0,Field Goal
13,48.0,Touchdown
14,80.0,Punt
15,83.0,Punt
16,64.0,Fumble
17,84.0,Touchdown
0,82.0,Field Goal
1,87.0,Touchdown
2,83.0,Punt
3,59.0,Touchdown
4,89.0,Interception
5,23.0,Touchdown
6,73.0,Punt
7,54.0,Punt
8,91.0,Punt
9,64.0,Punt
10,82.0,Interception
11,4.0,Touchdown
12,77.0,Field Goal
13,80.0,Punt
14,94.0,Blocked Punt
15,80.0,Downs
16,79.0,Punt
17,49.0,Downs
18,99.0,Safety
19,79.0,Punt
20,75.0,Punt
21,76.0,Punt
22,49.0,Punt
23,92.0,Punt
24,63.0,Punt
0,75.0,Punt
1,66.0,Punt
2,83.0,Punt
3,92.0,Touchdown
4,65.0,Punt
5,74.0,Punt
6,87.0,Touchdown
7,93.0,Punt
8,80.0,End of Half
9,80.0,Punt
10,75.0,Interception
11,69.0,Punt
12,85.0,Touchdown
13,80.0,Field Goal
14,80.0,Missed FG
0,80.0,Punt
1,68.0,Punt
2,82.0,Touchdown
3,81.0,Punt
4,79.0,Punt
5,84.0,Punt
6,62.0,Punt
7,55.0,Touchdown
8,80.0,Punt
9,66.0,Touchdown
10,80.0,Punt
11,77.0,Punt
12,56.0,Punt
13,82.0,Interception
14,64.0,Interception
15,80.0,End of Half
16,80.0,Field Goal
17,80.0,Touchdown
18,80.0,Punt
19,77.0,Punt
20,68.0,Punt
21,91.0,Interception
22,2.0,Touchdown
23,80.0,Interception
24,38.0,Touchdown
25,80.0,Touchdown
26,80.0,Punt
27,80.0,Field Goal
28,80.0,Punt
29,86.0,Downs
0,80.0,Punt
1,80.0,Fumble
2,24.0,Touchdown
3,75.0,Punt
4,79.0,Punt
5,82.0,Punt
6,64.0,Punt
7,88.0,Punt
8,52.0,Field Goal
9,80.0,Punt
10,95.0,Punt
11,32.0,Touchdown
12,82.0,Punt
13,43.0,Touchdown
14,81.0,End of Half
15,77.0,Field Goal
16,83.0,Punt
17,34.0,Missed FG
18,61.0,Touchdown
19,78.0,Punt
20,88.0,Touchdown
21,80.0,Interception
22,59.0,Punt
23,89.0,Touchdown
24,80.0,End of Half
25,82.0,Missed FG
0,83.0,Interception
1,27.0,Interception
2,80.0,Interception
3,82.0,Field Goal
4,80.0,Fumble
5,29.0,Touchdown
6,80.0,Touchdown
7,,
8,85.0,Punt
9,48.0,Touchdown
10,80.0,Touchdown
11,86.0,Field Goal
12,80.0,Punt
13,30.0,Touchdown
14,80.0,Punt
15,66.0,Touchdown
16,80.0,Interception
17,79.0,Punt
18,75.0,Punt
19,69.0,Touchdown
20,80.0,Touchdown
21,80.0,Touchdown
22,83.0,Interception
23,23.0,Touchdown
24,80.0,Interception
0,77.0,Punt
1,88.0,Touchdown
2,81.0,Punt
3,49.0,Touchdown
4,82.0,Touchdown
5,83.0,Punt
6,80.0,Field Goal
7,38.0,Touchdown
8,76.0,Interception
9,72.0,End of Half
10,94.0,Punt
11,71.0,Field Goal
12,80.0,Punt
13,91.0,Touchdown
14,85.0,Touchdown
15,70.0,Punt
16,45.0,Interception
17,50.0,Touchdown
18,46.0,Touchdown
19,68.0,Interception
20,13.0,Missed FG
21,80.0,Downs
0,80.0,Punt
1,81.0,Missed FG
2,64.0,Interception
3,38.0,Missed FG
4,61.0,Punt
5,63.0,Field Goal
6,80.0,Fumble
7,26.0,Field Goal
8,80.0,Punt
9,61.0,Missed FG
10,80.0,Punt
11,86.0,Field Goal
12,80.0,Punt
13,84.0,Touchdown
14,78.0,Interception
15,37.0,Touchdown
16,80.0,Interception
17,82.0,Punt
18,31.0,Interception
19,80.0,Punt
20,60.0,Punt
21,84.0,Touchdown
22,65.0,Punt
23,80.0,Downs
0,85.0,Interception
1,71.0,Punt
2,80.0,Interception
3,27.0,Touchdown
4,80.0,Punt
5,58.0,Punt
6,77.0,Punt
7,62.0,Punt
8,51.0,Punt
9,91.0,Punt
10,40.0,Touchdown
11,80.0,Punt
12,48.0,Punt
13,91.0,Punt
14,70.0,Field Goal
15,80.0,Punt
16,94.0,Punt
17,67.0,Fumble
18,25.0,Touchdown
19,80.0,Punt
20,84.0,Punt
21,80.0,Punt
22,60.0,Punt
23,91.0,Punt
24,85.0,Punt
25,77.0,Interception
26,21.0,Touchdown
27,76.0,Fumble
28,39.0,Punt
0,78.0,Punt
1,57.0,Field Goal
2,86.0,Field Goal
3,74.0,Punt
4,91.0,Punt
5,66.0,Punt
6,54.0,Punt
7,97.0,Punt
8,41.0,Touchdown
9,78.0,Touchdown
10,44.0,Touchdown
11,63.0,Missed FG
12,76.0,Touchdown
13,83.0,Touchdown
14,72.0,Fumble
15,37.0,Touchdown
16,80.0,Field Goal
17,87.0,Interception
18,16.0,Interception
19,90.0,Downs
20,55.0,Interception
0,77.0,Punt
1,80.0,Punt
2,89.0,Interception
3,63.0,Interception
4,44.0,Punt
5,91.0,Punt
6,63.0,Punt
7,77.0,Punt
8,70.0,Field Goal
9,78.0,Punt
10,77.0,Interception
11,44.0,Punt
12,98.0,Punt
13,87.0,Punt
14,14.0,Touchdown
15,80.0,Field Goal
16,78.0,Punt
17,90.0,Punt
18,74.0,Punt
19,74.0,Interception
20,80.0,Punt
21,95.0,Punt
22,73.0,Touchdown
23,80.0,Touchdown
24,91.0,Fumble
0,80.0,Punt
1,66.0,Punt
2,80.0,Punt
3,90.0,Punt
4,53.0,Field Goal
5,44.0,Fumble
6,73.0,Punt
7,94.0,Punt
8,44.0,Punt
9,85.0,Touchdown
10,80.0,Interception
11,54.0,Field Goal
12,75.0,End of Half
13,85.0,Touchdown
14,87.0,Punt
15,76.0,Interception
16,51.0,Field Goal
17,82.0,Interception
18,80.0,Punt
19,48.0,Downs
20,62.0,Touchdown
0,80.0,Punt
1,78.0,Punt
2,85.0,Punt
3,80.0,Punt
4,84.0,Punt
5,85.0,Punt
6,80.0,Interception
7,13.0,Touchdown
8,79.0,Missed FG
9,63.0,Punt
10,71.0,End of Half
11,77.0,Touchdown
12,81.0,Interception
13,65.0,Touchdown
14,73.0,Interception
15,33.0,Field Goal
16,72.0,Touchdown
17,87.0,Punt
18,84.0,Punt
19,66.0,Field Goal
20,79.0,Touchdown
0,80.0,Interception
1,58.0,Punt
2,89.0,Punt
3,50.0,Punt
4,97.0,Interception
5,26.0,Field Goal
6,85.0,Punt
7,89.0,Missed FG
8,62.0,Field Goal
9,76.0,Punt
10,64.0,Punt
11,72.0,Fumble
12,5.0,Touchdown
13,56.0,Field Goal
14,80.0,Field Goal
15,83.0,Punt
16,74.0,Touchdown
17,77.0,Touchdown
18,81.0,Field Goal
19,74.0,Punt
20,73.0,Punt
0,75.0,Field Goal
1,71.0,Punt
2,90.0,Punt
3,68.0,Field Goal
4,75.0,Punt
5,80.0,Punt
6,65.0,Punt
7,87.0,Punt
8,65.0,Field Goal
9,80.0,Interception
10,80.0,End of Half
11,80.0,Field Goal
12,76.0,Touchdown
13,72.0,Punt
14,72.0,Punt
15,90.0,Punt
16,60.0,Field Goal
17,69.0,Downs
0,72.0,Punt
1,77.0,Punt
2,65.0,Punt
3,90.0,Touchdown
4,78.0,Touchdown
5,81.0,Punt
6,92.0,Punt
7,49.0,Punt
8,98.0,Interception
9,20.0,Touchdown
10,36.0,Touchdown
11,80.0,Punt
12,60.0,End of Half
13,80.0,Punt
14,80.0,Touchdown
15,75.0,Punt
16,36.0,Touchdown
17,63.0,Punt
18,81.0,Field Goal
19,77.0,Punt
20,73.0,Punt
21,82.0,Touchdown
0,82.0,Touchdown
1,77.0,Downs
2,99.0,Punt
3,47.0,Touchdown
4,80.0,Field Goal
5,81.0,Punt
6,63.0,Punt
7,87.0,Punt
8,72.0,Punt
9,90.0,Fumble
10,14.0,Touchdown
11,,
12,75.0,Field Goal
13,70.0,Field Goal
14,75.0,Touchdown
15,85.0,Interception
16,54.0,Field Goal
17,81.0,Punt
18,69.0,Punt
19,68.0,Punt
20,77.0,Punt
21,68.0,Missed FG
22,55.0,Field Goal
23,74.0,Downs
0,80.0,Punt
1,59.0,Fumble
2,54.0,Punt
3,92.0,Punt
4,67.0,Touchdown
5,80.0,Punt
6,59.0,Punt
7,80.0,Field Goal
8,80.0,Punt
9,72.0,Punt
10,26.0,Touchdown
11,76.0,Interception
12,34.0,Field Goal
13,68.0,Missed FG
14,55.0,Field Goal
15,,
16,80.0,Punt
17,80.0,Punt
18,78.0,Punt
19,76.0,Punt
20,92.0,Punt
21,68.0,Punt
22,81.0,Punt
23,78.0,Punt
24,38.0,Punt
25,98.0,Punt
26,68.0,Punt
27,67.0,Field Goal
28,80.0,Punt
29,74.0,Downs
0,78.0,Punt
1,63.0,Punt
2,80.0,Touchdown
3,80.0,Punt
4,92.0,Punt
5,92.0,Punt
6,68.0,Touchdown
7,66.0,Punt
8,36.0,Field Goal
9,80.0,End of Half
10,83.0,Punt
11,62.0,Punt
12,80.0,Touchdown
13,76.0,Punt
14,80.0,Punt
15,36.0,Touchdown
16,80.0,Punt
17,79.0,Punt
18,73.0,Touchdown
19,3.0,Downs
0,80.0,Punt
1,73.0,Punt
2,79.0,Interception
3,31.0,Fumble
4,76.0,Punt
5,75.0,Punt
6,81.0,Field Goal
7,76.0,Punt
8,88.0,Punt
9,90.0,Punt
10,65.0,Punt
11,80.0,Field Goal
12,,
13,80.0,Field Goal
14,73.0,Fumble
15,28.0,Touchdown
16,90.0,Punt
17,79.0,Field Goal
18,74.0,Interception
19,37.0,Missed FG
20,60.0,Punt
21,92.0,Punt
22,55.0,Fumble
23,43.0,Touchdown
24,75.0,Field Goal
25,73.0,Punt
0,80.0,Punt
1,87.0,Punt
2,55.0,Field Goal
3,80.0,Punt
4,62.0,Touchdown
5,80.0,Touchdown
6,79.0,Punt
7,85.0,Punt
8,70.0,Punt
9,59.0,Field Goal
10,80.0,Blocked FG
11,80.0,Punt
12,64.0,Touchdown
13,80.0,Punt
14,64.0,Fumble
15,61.0,Field Goal
16,80.0,Touchdown
17,80.0,Touchdown
18,32.0,Field Goal
19,80.0,Interception
20,80.0,Punt
21,72.0,Interception
0,80.0,Fumble
1,38.0,Punt
2,91.0,Field Goal
3,,
4,86.0,Punt
5,59.0,Interception
6,64.0,Punt
7,81.0,Missed FG
8,68.0,Fumble
9,38.0,Field Goal
10,77.0,Punt
11,79.0,Fumble
12,29.0,Touchdown
13,82.0,End of Half
14,80.0,Fumble
15,62.0,Fumble
16,63.0,Interception
17,89.0,Punt
18,93.0,Fumble
19,29.0,Punt
20,81.0,Punt
21,71.0,Field Goal
22,80.0,Punt
23,80.0,Touchdown
24,67.0,Interception
25,47.0,Field Goal
26,80.0,Downs
0,80.0,Touchdown
1,67.0,Punt
2,96.0,Punt
3,80.0,Punt
4,78.0,Interception
5,20.0,Touchdown
6,66.0,Missed FG
7,80.0,Punt
8,98.0,End of Half
9,52.0,Missed FG
10,59.0,Interception
11,78.0,Punt
12,96.0,Punt
13,65.0,Field Goal
14,80.0,Punt
15,88.0,Touchdown
16,70.0,Touchdown
17,80.0,Punt
18,56.0,Touchdown
19,60.0,Punt
20,83.0,Punt
21,82.0,Downs
22,14.0,Field Goal
23,80.0,Interception
0,82.0,Punt
1,71.0,Field Goal
2,77.0,Punt
3,75.0,Punt
4,84.0,Interception
5,31.0,Field Goal
6,82.0,Interception
7,57.0,Punt
8,97.0,Punt
9,50.0,Interception
10,74.0,Touchdown
11,80.0,Field Goal
12,35.0,Interception
13,6.0,Field Goal
14,,
15,80.0,Field Goal
16,80.0,Punt
17,66.0,Punt
18,83.0,Punt
19,62.0,Field Goal
20,82.0,Field Goal
21,80.0,Punt
22,80.0,Field Goal
23,74.0,Touchdown
24,84.0,Touchdown
25,54.0,Punt
0,84.0,Touchdown
1,82.0,Punt
2,80.0,Field Goal
3,80.0,Touchdown
4,80.0,Punt
5,61.0,Touchdown
6,80.0,Interception
7,34.0,Missed FG
8,71.0,Punt
9,76.0,Touchdown
10,82.0,Field Goal
11,79.0,Field Goal
12,80.0,Punt
13,71.0,End of Half
14,69.0,Touchdown
15,80.0,Downs
16,98.0,Punt
17,88.0,Punt
18,75.0,Touchdown
19,80.0,Punt
20,55.0,Punt
21,90.0,Touchdown
0,80.0,Field Goal
1,72.0,Punt
2,91.0,Punt
3,62.0,Punt
4,91.0,Touchdown
5,93.0,Punt
6,44.0,Punt
7,93.0,Punt
8,71.0,Punt
9,46.0,Touchdown
10,88.0,End of Half
11,80.0,Punt
12,55.0,Field Goal
13,75.0,Punt
14,62.0,Punt
15,80.0,Field Goal
16,80.0,Missed FG
17,62.0,Punt
18,80.0,Punt
19,74.0,Field Goal
20,75.0,End of Half
21,80.0,Punt
22,92.0,Punt
23,70.0,Punt
24,80.0,Missed FG
0,80.0,Field Goal
1,82.0,Fumble
2,80.0,Fumble
3,38.0,Punt
4,92.0,Interception
5,7.0,Field Goal
6,80.0,Interception
7,24.0,Touchdown
8,82.0,Punt
9,73.0,Punt
10,69.0,Field Goal
11,78.0,Field Goal
12,85.0,Interception
13,61.0,Punt
14,75.0,Punt
15,80.0,Punt
16,71.0,Punt
17,92.0,Field Goal
18,88.0,Punt
19,70.0,Interception
0,80.0,Downs
1,90.0,Interception
2,80.0,Touchdown
3,70.0,Field Goal
4,80.0,Punt
5,83.0,Punt
6,80.0,Touchdown
7,80.0,Punt
8,88.0,Touchdown
9,75.0,Missed FG
10,67.0,Touchdown
11,73.0,Touchdown
12,80.0,Fumble
13,29.0,Touchdown
14,80.0,Downs
15,48.0,Punt
16,84.0,Touchdown
17,80.0,Touchdown
18,80.0,Touchdown
19,43.0,Downs
20,65.0,Downs
21,40.0,Touchdown
0,76.0,Punt
1,69.0,Interception
2,60.0,Touchdown
3,85.0,Punt
4,64.0,Punt
5,68.0,Punt
6,88.0,Touchdown
7,71.0,Touchdown
8,80.0,Punt
9,92.0,Punt
10,79.0,Punt
11,72.0,Punt
12,80.0,Field Goal
13,60.0,End of Half
14,75.0,Interception
15,30.0,Touchdown
16,80.0,Touchdown
17,80.0,Punt
18,89.0,Interception
19,92.0,Interception
0,82.0,Touchdown
1,74.0,Touchdown
2,66.0,Field Goal
3,92.0,Punt
4,61.0,Punt
5,84.0,Field Goal
6,80.0,Punt
7,18.0,Field Goal
8,79.0,End of Half
9,85.0,Punt
10,57.0,Punt
11,82.0,Punt
12,75.0,Punt
13,47.0,Field Goal
14,76.0,Fumble
15,29.0,Missed FG
16,70.0,Punt
17,77.0,Punt
18,86.0,Punt
19,89.0,Punt
20,31.0,Field Goal
21,51.0,Touchdown
22,80.0,Fumble
23,9.0,Touchdown
24,55.0,Field Goal
25,25.0,Touchdown
26,82.0,Interception
0,82.0,Punt
1,82.0,Punt
2,43.0,Downs
3,65.0,Punt
4,95.0,Punt
5,72.0,Punt
6,59.0,Punt
7,69.0,Punt
8,50.0,Field Goal
9,75.0,Punt
10,64.0,Punt
11,87.0,Touchdown
12,66.0,Punt
13,89.0,Field Goal
14,60.0,Interception
15,76.0,Punt
16,58.0,Missed FG
17,69.0,Punt
18,67.0,Punt
19,71.0,Punt
20,68.0,Punt
21,81.0,Punt
22,59.0,Interception
23,80.0,Punt
24,70.0,Downs
25,40.0,Punt
0,80.0,Punt
1,44.0,Field Goal
2,80.0,Touchdown
3,75.0,Touchdown
4,70.0,Fumble
5,57.0,Touchdown
6,80.0,Field Goal
7,80.0,Punt
8,92.0,Punt
9,61.0,Punt
10,97.0,End of Half
11,80.0,Punt
12,59.0,Fumble
13,63.0,Field Goal
14,80.0,Punt
15,56.0,Punt
16,85.0,Punt
17,83.0,Field Goal
18,80.0,Touchdown
19,80.0,Punt
20,85.0,Downs
0,80.0,Punt
1,70.0,Field Goal
2,80.0,Punt
